method,data,loss,accuracy, bi_precision, bi_recall, bi_f1, micro_precision, micro_recall, micro_f1, macro_precision, macro_recall, macro_f1, weighted_precision, weighted_recall, weighted_f1
# select best micro_f1 & w/o postfix
roberta-prompt-tune,gossipcop,0.5662326216697693,0.7803334701862004,0.593617645046691,0.2981574025087165,0.38752788234363705,0.7803334701862004,0.7803334701862004,0.7803334701862004,0.7011745477261029,0.6155626127940628,0.6267492598096324,0.7577178807098406,0.7803334701862004,0.7509776640111674
roberta-prompt-tune,gossipcop,0.5765593647956848,0.7769277497363569,0.5634145732715646,0.26619762164767247,0.34764336177096944,0.7769277497363569,0.7769277497363569,0.7769277497363569,0.6830726110012875,0.6020598319858887,0.6060169833238379,0.7455493895090421,0.7769277497363569,0.7406716100880675
roberta-prompt-tune,gossipcop,0.6062960624694824,0.7662047318891332,0.5166678796043976,0.23152654537537934,0.30500181141472493,0.7662047318891332,0.7662047318891332,0.7662047318891332,0.656395380320542,0.5824709654917865,0.5817355925257832,0.7295401647578224,0.7662047318891332,0.7266312522483555
roberta-prompt-tune,gossipcop,0.6298104524612427,0.776757343766352,0.6234639925206038,0.2342260406708107,0.3218831360919426,0.776757343766352,0.776757343766352,0.776757343766352,0.7105482042788818,0.5910247966883789,0.5937242927996433,0.7558152841350483,0.776757343766352,0.7353447087636379
roberta-prompt-tune,gossipcop,0.5690176486968994,0.7706868886903181,0.5571989558962159,0.30002933879810734,0.38174955943209465,0.7706868886903181,0.7706868886903181,0.7706868886903181,0.6817879980801413,0.6097866757142102,0.6202939230695586,0.7466155407520716,0.7706868886903181,0.7442150867942615
roberta-fine-tune,gossipcop,0.5545455813407898,0.7840206889334331,0.6000711625733322,0.22347337461347716,0.3173603507811402,0.7840206889334331,0.7840206889334331,0.7840206889334331,0.6988657451547653,0.5923831517267081,0.5944093791757128,0.75025058802614,0.7840206889334331,0.7381984595143325
roberta-fine-tune,gossipcop,0.6400395631790161,0.7660338268086717,0.5142017042747,0.20357324319068262,0.2702792527463186,0.7660338268086717,0.7660338268086717,0.7660338268086716,0.6525412042972265,0.5734905176689191,0.5649048270990066,0.7251412217003752,0.7660338268086717,0.7184194019077457
roberta-fine-tune,gossipcop,0.6417748332023621,0.7563849751652297,0.22702247761670513,0.13961683847092557,0.16367454362771638,0.7563849751652297,0.7563849751652297,0.7563849751652297,0.5040860052557927,0.5446067536243271,0.5095237745429577,0.6489700832728177,0.7563849751652297,0.6904061747458206
roberta-fine-tune,gossipcop,0.6166967749595642,0.7516192431231434,0.2914349144846578,0.24438380298819098,0.24134611014274218,0.7516192431231434,0.7516192431231434,0.7516192431231434,0.544948513581979,0.5789505242135202,0.54405826274683,0.6756050620060736,0.7516192431231434,0.7004461706669315
roberta-fine-tune,gossipcop,0.627412736415863,0.7245508730407902,0.4279678302927984,0.2963542551731456,0.32368956514574515,0.7245508730407902,0.7245508730407902,0.7245508730407902,0.6115583674393561,0.5783949531907998,0.5740547077983786,0.7069496277146404,0.7245508730407902,0.7038122393794245
# stastified 5-fold
roberta-prompt-tune,gossipcop,0.5531226396560669,0.7892426079326362,0.6441876596138428,0.2717857684977484,0.3758921335232319,0.7892426079326362,0.7892426079326362,0.7892426079326362,0.7252993377631942,0.611909296035521,0.6244455331405547,0.7675877021854172,0.7892426079326362,0.7540341571400292
roberta-prompt-tune,gossipcop,0.5993505716323853,0.7529236602506822,0.49065647111428995,0.2730214552264842,0.31715346794327737,0.7529236602506822,0.7529236602506822,0.7529236602506822,0.6454262631131775,0.5887961573141688,0.5820403707754407,0.7258835630767558,0.7529236602506822,0.7197218312280966
roberta-prompt-tune,gossipcop,0.666487991809845,0.7684734304183672,0.4571094933820471,0.13591274559764455,0.1889030928409895,0.7684734304183672,0.7684734304183672,0.7684734304183674,0.6198369653937756,0.5512276097585838,0.5265316365915206,0.7049371692182822,0.7684734304183672,0.7031384985854878
roberta-prompt-tune,gossipcop,0.6666913032531738,0.7649534780753656,0.5245700020253705,0.09692671394799054,0.13292333443661591,0.7649534780753656,0.7649534780753656,0.7649534780753656,0.6498698136231734,0.536439765189806,0.4980831475685239,0.7150154170606701,0.7649534780753656,0.6879393696177426
roberta-prompt-tune,gossipcop,0.639815628528595,0.7713079914024199,0.5501398536699055,0.2575329780239764,0.33019002591009344,0.7713079914024199,0.7713079914024199,0.7713079914024199,0.6752823673916625,0.5955407750042478,0.5954195717989761,0.7403693564684335,0.7713079914024199,0.7333449997080652
# kfold & only <mask>
roberta-prompt-tune,gossipcop,0.635179877281189,0.7095065407620289,0.32310365487603715,0.25034949551671887,0.24482224906049357,0.7095065407620289,0.7095065407620289,0.7095065407620289,0.555095419268259,0.5526320532784632,0.5280155773132829,0.6773992743106501,0.7095065407620289,0.6756700420187086
roberta-prompt-tune,gossipcop,0.5820131301879883,0.7263087239677672,0.4141829109836633,0.3281150585388114,0.36091511466295595,0.7263087239677672,0.7263087239677672,0.726308723967767,0.6077371032290879,0.5901514785201131,0.5931032138495602,0.7085635589200391,0.7263087239677672,0.7138576396545258
roberta-prompt-tune,gossipcop,0.6285282969474792,0.7234124503908357,0.25220619869615507,0.18518015511830174,0.18774882992157643,0.7234124503908357,0.7234124503908357,0.7234124503908357,0.5164675857989899,0.5380371550636602,0.5079862655757261,0.6549397202048582,0.7234124503908357,0.6761194640894213
roberta-prompt-tune,gossipcop,0.6181523203849792,0.7137120454673525,0.3023709045051533,0.3019191182848887,0.29834991098829144,0.7137120454673525,0.7137120454673525,0.7137120454673525,0.5489568942302203,0.5741389616309565,0.5573643077942118,0.6760071375264806,0.7137120454673525,0.6905595435880677
roberta-prompt-tune,gossipcop,0.6278501749038696,0.7097403176596551,0.3313943802536817,0.25874845554821313,0.26243067037291556,0.7097403176596551,0.7097403176596551,0.7097403176596551,0.5592062261700881,0.5558650367465591,0.5382963989407488,0.6775664013894229,0.7097403176596551,0.6813009942631394
# 10-shot & stastified 5-fold
roberta-prompt-tune,gossipcop,0.6655040383338928,0.6409667769539771,0.23083435716306994,0.32602755898871666,0.23613189328190734,0.6409667769539771,0.6409667769539771,0.6409667769539771,0.5080992952634144,0.5330249693488902,0.4829418606556041,0.6526545928563764,0.6409667769539771,0.6116310836799526
roberta-prompt-tune,gossipcop,0.6639882922172546,0.7189923925906248,0.23542868853021343,0.11510406636131973,0.13851235741093842,0.7189923925906248,0.7189923925906248,0.7189923925906248,0.5005047408528865,0.5124515768613384,0.48407081720340106,0.6382904966504602,0.7189923925906248,0.6636920431867226
roberta-prompt-tune,gossipcop,0.6687629222869873,0.6136094058170519,0.24148830926327208,0.4464625445897741,0.30175756262973763,0.6136094058170519,0.6136094058170519,0.6136094058170519,0.5248087731819878,0.556204446661504,0.5013850259102378,0.6730030310192255,0.6136094058170519,0.6058049943646737
roberta-prompt-tune,gossipcop,0.6820834875106812,0.6045861810804936,0.2519783631734496,0.3626477541371158,0.25022345402271917,0.6045861810804936,0.6045861810804936,0.6045861810804936,0.517168248550313,0.5218276180283812,0.47125653191025235,0.6550448935151019,0.6045861810804936,0.5861743895045717
roberta-prompt-tune,gossipcop,0.6495471000671387,0.7498584458344403,0.3963229678398784,0.0844192650411963,0.13600686889600247,0.7498584458344403,0.7498584458344403,0.7498584458344404,0.5824814690887241,0.5221990308810378,0.49482443943026516,0.67929128673862,0.7498584458344403,0.6814212446147444
roberta-fine-tune,gossipcop,0.709702730178833,0.5614355382745269,0.16918838280150536,0.3909795190950847,0.1631725223223112,0.5614355382745269,0.5614355382745269,0.5614355382745269,0.3957656724175075,0.503061561114122,0.3579841581369062,0.5138907084122096,0.5614355382745269,0.45951895539452003
roberta-fine-tune,gossipcop,0.7260567545890808,0.44807035847401,0.1440839793593676,0.6,0.23236728002830578,0.44807035847401,0.44807035847401,0.44807035847401,0.224035179237005,0.5,0.28890651533296496,0.2656196252254506,0.44807035847401,0.31832768628209
roberta-fine-tune,gossipcop,0.6915656328201294,0.6592779481730142,0.25021855329687337,0.24380952380952378,0.14490712243807197,0.6592779481730142,0.6592779481730142,0.6592779481730142,0.4329738841952091,0.5166141508764459,0.4182763579552965,0.5285382818315012,0.6592779481730142,0.5612472955199479
roberta-fine-tune,gossipcop,0.7169807553291321,0.4832009080590239,0.1487068293162709,0.5595744680851065,0.23408177788960086,0.4832009080590239,0.4832009080590239,0.4832009080590239,0.3085711364399889,0.5093242019290356,0.333225302725151,0.39168588407070726,0.4832009080590239,0.3847729223048959
roberta-fine-tune,gossipcop,0.6951298713684082,0.4583342591027281,0.19511095740446222,0.5954481234350302,0.29165519052007327,0.4583342591027281,0.4583342591027281,0.4583342591027281,0.40423943672239293,0.5052428348153878,0.37836272436956947,0.5130057013882361,0.4583342591027281,0.42345663374590325
# 10-shot & 5-fold
